Folder,Urutan,Judul,Tipe,Nilai,Thumb
data-analyst-asdp,1,A few examples of my work,img,A few examples of my work.jpg,
data-analyst-asdp,2,Final presentation,img,Final presentation.jpg,
data-analyst-asdp,3,Best Presentation Award,img,Best Presentation Award.jpg,
data-analyst-asdp,4,Prizes for the Best Presentations Award,img,Prizes for the Best Presentations Award.jpg,
data-analyst-asdp,5,Internship certificate,img,Internship certificate.jpg,
data-analyst-asdp,6,Last Day,img,Last Day.jpg,
surveyor-ipm-bandung,1,Certificate of Appreciation,file,Sertifikat Surveyor_IPM Bandung_Angga Fathan Rofiqy.pdf,Sertifikat.jpg
surveyor-ipm-bandung,2,Departing for Survey,img,Departing for Survey.jpg,
surveyor-ipm-bandung,3,Day 1 Survey,img,Day 1 Survey.jpg,
surveyor-ipm-bandung,4,Day 2 Survey,img,Day 2 Survey.jpg,
surveyor-ipm-bandung,5,Day 3 Survey,img,Day 3 Survey.jpg,
works-kknt-ipb,1,2024 Sukawening Village Profile and Potential Book,file,Buku Profil dan Potensi Desa Sukawening.pdf,2024 Sukawening Village Profile and Potential Book.jpg
works-kknt-ipb,2,Instagram Feeds 1,img,Instagram Feeds 1.jpg,
works-kknt-ipb,3,Instagram Feeds 2,img,Instagram Feeds 2.jpg,
works-kknt-ipb,4,Instagram Feeds 3,img,Instagram Feeds 3.jpg,
works-kknt-ipb,5,Instagram Feeds 4,img,Instagram Feeds 4.jpg,
marketing-specialist-statify,1,Statify Website,link,https://statifyipb.wixsite.com/profile,
marketing-specialist-statify,2,STATify (@statify.id) · Instagram profile,link,https://www.instagram.com/statify.id/,
